Pr_id,Failure_time,Recovery_time,Error_type
1,29604556,29605120,Software
1,29704893,29706486,I/O
1,29770774,29772334,Software
1,29779466,29779946,I/O
1,29918361,29919001,I/O
1,29938155,29938995,Unknown
1,29968514,29969314,I/O
1,30204850,30206947,I/O
1,30300136,30300482,I/O
1,30315829,30316496,I/O
1,30552159,30555408,Unknown
1,30571134,30571529,I/O
1,31762359,31762897,I/O
1,31830453,31831347,I/O
1,31837833,31838304,I/O
1,31839160,31839628,I/O
1,31951476,31952241,I/O
1,32123531,32124925,I/O
1,32126834,32127160,I/O
1,32177392,32178646,I/O
1,32963455,32964054,Software
1,33014870,33015438,I/O
1,33152933,33153737,Software
1,34616577,34617326,Software
1,34770846,34771459,I/O
1,37813703,37814561,Unknown
1,38007128,38049817,I/O
1,38955976,38956597,Unknown
1,38961843,38962658,Unknown
1,39465650,39467247,I/O
1,39809295,39810575,Unknown
1,40069978,40071607,I/O
1,41000249,41001273,Software
1,41366807,41387784,Software
1,41391480,41392113,Software
1,42272616,42273174,Software
1,42831896,42833058,Software
1,43309767,43313204,Software
1,43348292,43350322,Software
1,43952410,43953022,Software
1,44877091,44877998,Software
1,45841909,45842888,Software
1,46961851,46962724,Software
1,48878979,48880349,Unknown
1,48888392,48890586,Software
2,29570604,29570904,I/O
2,29577262,29577562,I/O
2,29767256,29767556,I/O
2,29782058,29782358,I/O
2,29788920,29789718,I/O
2,29886930,29887230,I/O
2,29909506,29909806,I/O
2,29910884,29911926,I/O
2,29913095,29913465,I/O
2,29914121,29915273,I/O
2,29916032,29916705,I/O
2,29917194,29917844,I/O
2,29918236,29919428,I/O
2,29939825,29940125,Unknown
2,29946828,29947128,Unknown
2,29949602,29950199,I/O
2,29953804,29954104,I/O
2,29957176,29957476,I/O
2,29963079,29963379,I/O
2,29964579,29966271,I/O
2,29967435,29968115,I/O
2,30550260,30550560,Unknown
2,30550946,30553816,Software
2,30660369,30660669,Unknown
2,31774557,31774857,I/O
2,31775859,31776450,I/O
2,31781002,31781783,I/O
2,31832367,31832781,I/O
2,31839101,31841182,I/O
2,32122929,32129036,I/O
2,32176731,32177250,Software
2,32178134,32180594,I/O
2,32183767,32184321,I/O
2,32449592,32450399,Unknown
2,32962291,32962591,Unknown
2,32975370,32975670,I/O
2,32976674,32976974,I/O
2,32983427,32983727,I/O
2,33049654,33050104,I/O
2,33052795,33053095,I/O
2,33057253,33057553,I/O
2,33059795,33060095,I/O
2,33087233,33087533,I/O
2,33089396,33089696,I/O
2,33120965,33121265,Unknown
2,33148035,33148430,I/O
2,34011900,34012200,Unknown
2,34770845,34771810,I/O
2,34774453,34774753,Unknown
2,34775145,34776270,I/O
2,34777013,34777313,I/O
2,34777969,34778269,I/O
2,34780806,34781106,I/O
2,35659389,35662510,Unknown
2,35668585,35668885,I/O
2,35725413,35725713,I/O
2,35726840,35727669,I/O
2,35730910,35731210,I/O
2,35744817,35745117,I/O
2,35753244,35753544,I/O
2,36785044,36785772,Unknown
2,36789532,36789988,Software
2,36796257,36847121,I/O
2,38249305,38249785,Software
2,38251655,38252099,Unknown
2,38744311,38744777,Software
2,38745674,38746341,CPU
2,38955454,38956597,Unknown
2,39805355,39808038,I/O
2,43064089,43065444,Unknown
2,44732995,44733453,Software
2,45221452,45221917,I/O
2,46375146,46375583,Unknown
2,49391794,49392273,Software
2,50068269,50069049,I/O
3,30550976,30554633,Software
3,31760114,31760624,Software
3,32806356,32806844,Software
3,33152933,33153558,Software
3,34370843,34385770,I/O
3,34779280,34779754,Unknown
3,36783938,36786522,I/O
3,36787771,36788262,Software
3,37800626,37811789,I/O
3,37812929,37813548,Software
3,43175442,43175990,Software
3,43326842,43327797,Unknown
3,43330318,43330785,CPU
3,43331708,43332312,CPU
3,43334898,43338477,CPU
3,43338720,43340663,I/O
3,43342983,43345110,CPU
3,43691509,43692018,Software
3,43693033,43693689,Unknown
3,43693580,43694622,I/O
3,43695584,43696455,Unknown
3,43697283,43698493,I/O
3,47651456,47651969,Software
3,49057997,49058626,Software
3,49568366,49568810,Unknown
3,50043031,50043500,Software
3,50697666,50698119,Unknown
3,50930312,50930764,Unknown
4,29939050,29940425,I/O
4,29943202,29948396,I/O
4,30550948,30554287,I/O
4,30762674,30762976,I/O
4,34777878,34778529,I/O
4,37563700,37567137,I/O
4,37811277,37811786,I/O
4,38956002,38963057,I/O
4,39204773,39205074,I/O
4,43175015,43175315,Unknown
4,47239532,47243366,I/O
4,47641698,47642345,I/O
4,48939418,48940072,Unknown
4,49144906,49145430,I/O
4,50662627,50663276,Unknown
4,50668168,50672456,I/O
4,50758111,50758751,I/O
4,50941271,50943381,I/O
5,30545108,30545606,Software
5,30551262,30553813,Unknown
5,31769662,31770215,Software
5,31953896,31954395,Unknown
5,33152335,33153779,Unknown
5,33153616,33156417,Software
5,34774852,34780711,I/O
5,37813181,37813664,Unknown
5,38955806,38962854,Unknown
5,40928410,40934268,Software
5,40936013,40936767,Unknown
5,43189066,43193507,Software
5,43252583,43254201,Unknown
5,43256847,43257890,Unknown
5,43328379,43333113,Software
5,44903066,44903945,Unknown
5,47064423,47069097,I/O
5,49125607,49126676,Software
5,49478273,49478888,Unknown
5,50618397,50623146,Software
