Release,Test_Week,Defects,Execution_hrs
R1,1,16,519
R1,2,24,968
R1,3,27,1430
R1,4,33,1893
R1,5,41,2490
R1,6,49,3058
R1,7,54,3625
R1,8,58,4422
R1,9,69,5218
R1,10,75,5823
R1,11,81,6539
R1,12,86,7083
R1,13,90,7487
R1,14,93,7846
R1,15,96,8205
R1,16,98,8564
R1,17,99,8923
R1,18,100,9282
R1,19,100,9641
R1,20,100,10000
R2,1,13,384
R2,2,18,1186
R2,3,26,1471
R2,4,34,2236
R2,5,40,2772
R2,6,48,2967
R2,7,61,3812
R2,8,75,4880
R2,9,84,6104
R2,10,89,6634
R2,11,95,7229
R2,12,100,8072
R2,13,104,8484
R2,14,110,8847
R2,15,112,9253
R2,16,114,9712
R2,17,117,10083
R2,18,118,10174
R2,19,120,10272
R3,1,6,162
R3,2,9,499
R3,3,13,715
R3,4,20,1137
R3,5,28,1799
R3,6,40,2438
R3,7,48,2818
R3,8,54,3574
R3,9,57,4234
R3,10,59,4680
R3,11,60,4955
R3,12,61,5053
R4,1,1,254
R4,2,3,788
R4,3,8,1054
R4,4,9,1393
R4,5,11,2216
R4,6,16,2880
R4,7,19,3593
R4,8,25,4281
R4,9,27,5180
R4,10,29,6003
R4,11,32,7621
R4,12,32,8783
R4,13,36,9604
R4,14,38,10064
R4,15,39,10560
R4,16,39,11008
R4,17,41,11237
R4,18,42,11243
R4,19,42,11305
