Failure,Interval_Time
1,14390
2,9000
3,2880
4,5700
5,21800
6,26800
7,113540
8,112137
9,660
10,2700
11,28793
12,2173
13,7263
14,10865
15,4230
16,8460
17,14805
18,11844
19,5361
20,6553
21,6499
22,3124
23,51323
24,17010
25,1890
26,5400
27,62312
28,24826
29,26335
30,363
31,13989
32,15058
33,32377
34,41362
35,4160
36,82040
37,13189
38,3426
39,5833
40,640
41,640
42,2880
43,110
44,22080
45,60654
46,52163
47,12546
48,784
49,10193
50,7841
51,31365
52,24313
53,298890
54,1280
55,22099
56,19150
57,2611
58,39170
59,55794
60,42632
61,267600
62,87074
63,149606
64,14400
65,34560
66,39600
67,334395
68,296015
69,177355
70,214622
71,156400
72,166800
73,10800
74,267000
75,2098833
76,614080
77,7680
78,2629667
79,2948700
80,187200
81,18000
82,178200
83,487800
84,639200
85,334560
86,1468800
87,86720
88,199200
89,215200
90,86400
91,88640
92,1814400
93,4160
94,3200
95,199200
96,356160
97,518400
98,345600
99,31360
100,265600
